network,geoname_id,latitude,longitude,accuracy_radius
1.232.120.0/21,1835841,37.5112,126.9741,200
1.232.128.0/21,1835848,37.5985,126.9783,5
1.232.136.0/21,1835848,37.5985,126.9783,1
1.232.144.0/21,1845581,37.5946,126.9712,1
1.232.152.0/21,1835841,37.5112,126.9741,200
1.232.160.0/21,1835841,37.5112,126.9741,200
1.232.168.0/21,1835848,37.5985,126.9783,20
1.232.176.0/21,1835848,37.5985,126.9783,1
1.232.184.0/21,1835841,37.5112,126.9741,200
1.232.192.0/22,1835841,37.5112,126.9741,200
1.232.196.0/22,1835848,37.5985,126.9783,500
1.232.200.0/21,1845581,37.5946,126.9712,20
1.232.208.0/22,1835848,37.5985,126.9783,5
1.232.212.0/22,1840898,37.761,126.7727,20
1.232.216.0/24,1835848,37.5985,126.9783,10
1.232.217.0/25,1835848,37.5985,126.9783,10
1.232.217.128/25,1843140,37.4954,127.0621,10
1.232.218.0/23,1835848,37.5985,126.9783,10
1.232.220.0/22,1835848,37.5985,126.9783,10
1.232.224.0/22,1835841,37.5112,126.9741,200
1.232.228.0/22,1842485,37.6564,126.835,1
1.232.232.0/21,1835841,37.5112,126.9741,200
1.232.240.0/24,1835848,37.5985,126.9783,5
1.232.241.0/24,1832311,37.5339,126.9775,5
1.232.242.0/23,1835848,37.5985,126.9783,5
1.232.244.0/22,1835848,37.5985,126.9783,5
1.232.248.0/22,1839726,36.7836,127.0042,100
1.232.252.0/23,1839726,36.7836,127.0042,100
1.232.254.0/23,1836701,37.5781,126.9351,100
1.233.0.0/22,1835841,37.5112,126.9741,200
1.233.4.0/22,1897007,37.54,127.2056,20
1.233.8.0/23,8349536,37.5082,127.1179,1
1.233.10.0/23,1897007,37.54,127.2056,1
1.233.12.0/22,6573518,37.5082,127.1179,20
1.233.16.0/21,1897007,37.54,127.2056,1000
1.233.24.0/21,1835848,37.5985,126.9783,20
1.233.32.0/22,1836279,37.5504,127.1455,20
1.233.36.0/22,1835841,37.5112,126.9741,200
1.233.40.0/21,1897007,37.54,127.2056,1
1.233.48.0/21,1897007,37.54,127.2056,20
1.233.56.0/21,6573518,37.5082,127.1179,10
1.233.64.0/21,1835841,37.5112,126.9741,200
1.233.72.0/22,1835848,37.5985,126.9783,20
1.233.76.0/23,1897007,37.54,127.2056,20
1.233.78.0/23,1835848,37.5985,126.9783,20
1.233.80.0/21,1835841,37.5112,126.9741,200
1.233.88.0/21,1836279,37.5504,127.1455,20
1.233.96.0/22,6573518,37.5082,127.1179,1
1.233.100.0/22,1836279,37.5504,127.1455,5
1.233.104.0/21,1835841,37.5112,126.9741,200
1.233.112.0/21,1835841,37.5112,126.9741,200
1.233.120.0/21,1835848,37.5985,126.9783,20
1.233.128.0/21,6573518,37.5082,127.1179,20
1.233.136.0/21,1835848,37.5985,126.9783,20
1.233.144.0/21,1835841,37.5112,126.9741,200
1.233.152.0/22,1835848,37.5985,126.9783,20
1.233.156.0/22,6573518,37.5082,127.1179,20
1.233.160.0/21,6573518,37.5082,127.1179,20
1.233.168.0/23,8349536,37.5082,127.1179,20
1.233.170.0/23,1835848,37.5985,126.9783,20
1.233.172.0/22,1835848,37.5985,126.9783,20
1.233.176.0/20,1835841,37.5112,126.9741,200
1.233.192.0/22,1835848,37.5985,126.9783,20
1.233.196.0/22,1897007,37.54,127.2056,20
1.233.200.0/23,1834245,37.5006,126.9515,10
1.233.202.0/23,1835848,37.5985,126.9783,10
1.233.204.0/22,1835841,37.5112,126.9741,200
1.233.208.0/21,1835841,37.5112,126.9741,200
1.233.216.0/21,1843564,37.4562,126.7288,20
1.233.224.0/21,1835841,37.5112,126.9741,200
1.233.232.0/21,1835553,37.2859,127.0099,20
1.233.240.0/21,1835841,37.5112,126.9741,200
1.233.248.0/21,1839714,34.3678,126.5222,200
1.234.0.0/19,1835841,37.5112,126.9741,200
1.234.32.0/20,1835841,37.5112,126.9741,200
1.234.48.0/21,1835841,37.5112,126.9741,200
1.234.56.0/21,1835848,37.5985,126.9783,20
1.234.64.0/19,1835841,37.5112,126.9741,200
1.234.96.0/21,1835848,37.5985,126.9783,50
1.234.104.0/21,1835848,37.5985,126.9783,1
1.234.112.0/21,1835848,37.5985,126.9783,1000
1.234.120.0/21,1835841,37.5112,126.9741,200
1.234.128.0/21,1843140,37.4954,127.0621,200
1.234.136.0/23,1835848,37.5985,126.9783,10
1.234.138.0/23,1843140,37.4954,127.0621,10
